Month,Questions,Answers
"2008-07-01 00:00:00","6","6"
"2008-08-01 00:00:00","5346","31898"
"2008-09-01 00:00:00","17688","100481"
"2008-10-01 00:00:00","17716","81825"
"2008-11-01 00:00:00","15072","59074"
"2008-12-01 00:00:00","14544","59099"
"2009-01-01 00:00:00","18874","76655"
"2009-02-01 00:00:00","20806","78278"
"2009-03-01 00:00:00","23561","81044"
"2009-04-01 00:00:00","24574","81519"
"2009-05-01 00:00:00","29573","93893"
"2009-06-01 00:00:00","32356","101149"
"2009-07-01 00:00:00","37251","111427"
"2009-08-01 00:00:00","37912","106617"
"2009-09-01 00:00:00","38369","102910"
"2009-10-01 00:00:00","42265","112417"
"2009-11-01 00:00:00","44765","122482"
"2009-12-01 00:00:00","44261","119991"
"2010-01-01 00:00:00","52295","134079"
"2010-02-01 00:00:00","52662","126564"
"2010-03-01 00:00:00","61879","142178"
"2010-04-01 00:00:00","59827","131152"
"2010-05-01 00:00:00","62292","135921"
"2010-06-01 00:00:00","66970","140737"
"2010-07-01 00:00:00","72625","153322"
"2010-08-01 00:00:00","76337","157355"
"2010-09-01 00:00:00","73225","147750"
"2010-10-01 00:00:00","76204","153862"
"2010-11-01 00:00:00","82510","171495"
"2010-12-01 00:00:00","83335","169357"
"2011-01-01 00:00:00","93964","190617"
"2011-02-01 00:00:00","98145","191819"
"2011-03-01 00:00:00","120754","236362"
"2011-04-01 00:00:00","115842","220099"
"2011-05-01 00:00:00","121598","226536"
"2011-06-01 00:00:00","120729","225427"
"2011-07-01 00:00:00","123755","225950"
"2011-08-01 00:00:00","131685","238756"
"2011-09-01 00:00:00","127967","223328"
"2011-10-01 00:00:00","126522","216296"
"2011-11-01 00:00:00","135069","237192"
"2011-12-01 00:00:00","129112","225554"
"2012-01-01 00:00:00","144109","252465"
"2012-02-01 00:00:00","155693","262603"
"2012-03-01 00:00:00","168695","281966"
"2012-04-01 00:00:00","163260","266681"
"2012-05-01 00:00:00","171421","277860"
"2012-06-01 00:00:00","166544","267694"
"2012-07-01 00:00:00","181874","288645"
"2012-08-01 00:00:00","181013","289605"
"2012-09-01 00:00:00","170453","268698"
"2012-10-01 00:00:00","193954","306260"
"2012-11-01 00:00:00","190872","293309"
"2012-12-01 00:00:00","177776","272999"
"2013-01-01 00:00:00","208773","315944"
"2013-02-01 00:00:00","206367","302737"
"2013-03-01 00:00:00","237087","348032"
"2013-04-01 00:00:00","234387","338945"
"2013-05-01 00:00:00","226297","329100"
"2013-06-01 00:00:00","217672","309362"
"2013-07-01 00:00:00","241917","343851"
"2013-08-01 00:00:00","232411","337192"
"2013-09-01 00:00:00","227617","323326"
"2013-10-01 00:00:00","253181","357214"
"2013-11-01 00:00:00","244213","337917"
"2013-12-01 00:00:00","229520","326378"
"2014-01-01 00:00:00","259862","366526"
"2014-02-01 00:00:00","260462","352897"
"2014-03-01 00:00:00","289103","375051"
"2014-04-01 00:00:00","274175","348076"
"2014-05-01 00:00:00","258159","313942"
"2014-06-01 00:00:00","238820","285422"
"2014-07-01 00:00:00","255455","312292"
"2014-08-01 00:00:00","236526","288915"
"2014-09-01 00:00:00","242139","291649"
"2014-10-01 00:00:00","252152","299617"
"2014-11-01 00:00:00","244719","288977"
"2014-12-01 00:00:00","228868","277938"
"2015-01-01 00:00:00","241315","287328"
"2015-02-01 00:00:00","242689","287014"
"2015-03-01 00:00:00","274107","317014"
"2015-04-01 00:00:00","266915","331192"
"2015-05-01 00:00:00","261572","321582"
"2015-06-01 00:00:00","265432","319613"
"2015-07-01 00:00:00","274544","330984"
"2015-08-01 00:00:00","255120","307888"
"2015-09-01 00:00:00","252880","301136"
"2015-10-01 00:00:00","267426","312286"
"2015-11-01 00:00:00","256791","294466"
"2015-12-01 00:00:00","246929","293671"
"2016-01-01 00:00:00","258344","309389"
"2016-02-01 00:00:00","272228","317131"
"2016-03-01 00:00:00","294343","338359"
"2016-04-01 00:00:00","287015","326987"
"2016-05-01 00:00:00","276994","318121"
"2016-06-01 00:00:00","270246","305652"
"2016-07-01 00:00:00","259372","294397"
"2016-08-01 00:00:00","266177","303566"
"2016-09-01 00:00:00","253596","286626"
"2016-10-01 00:00:00","260288","289901"
"2016-11-01 00:00:00","261670","285875"
"2016-12-01 00:00:00","241171","270303"
"2017-01-01 00:00:00","259048","295677"
"2017-02-01 00:00:00","258581","292104"
"2017-03-01 00:00:00","298552","331235"
"2017-04-01 00:00:00","268287","291662"
"2017-05-01 00:00:00","278456","304966"
